Start running regression test: planner in folder: test/planner/linear
SUCC/home/gabor/git/pdq/regression/test/planner/linear/fast/tpch/blackbox_db/case_005 : PASSCost: 75.79Finished,  Duration: 0.77s.
SUCC/home/gabor/git/pdq/regression/test/planner/linear/fast/tpch/blackbox_db/case_006 : PASSCost: 85.85Finished,  Duration: 1.01s.
NOT ACCEPTED/home/gabor/git/pdq/regression/test/planner/linear/fast/tpch/blackbox_db/case_010 : FAILCost: 63.08Finished,  Duration: 3.91s.
SUCC/home/gabor/git/pdq/regression/test/planner/linear/fast/tpch/blackbox_db_with/case_001 : PASSCost: 10.1Finished,  Duration: 0.61s.
SUCC/home/gabor/git/pdq/regression/test/planner/linear/fast/tpch/blackbox_db_with/case_002 : PASSCost: 20.74Finished,  Duration: 0.69s.
SUCC/home/gabor/git/pdq/regression/test/planner/linear/fast/tpch/blackbox_db_with/case_003 : PASSCost: 31.92Finished,  Duration: 0.75s.
SUCC/home/gabor/git/pdq/regression/test/planner/linear/fast/tpch/blackbox_db_with/case_004 : PASSCost: 43.06Finished,  Duration: 0.97s.
SUCC/home/gabor/git/pdq/regression/test/planner/linear/fast/tpch/blackbox_db_with/case_005 : PASSCost: 75.79Finished,  Duration: 0.87s.
SUCC/home/gabor/git/pdq/regression/test/planner/linear/fast/tpch/blackbox_db_with/case_006 : PASSCost: 85.85Finished,  Duration: 1.3s.
SUCC/home/gabor/git/pdq/regression/test/planner/linear/fast/tpch/simple/case_001 : PASSCost: 10.0Finished,  Duration: 0s.
SUCC/home/gabor/git/pdq/regression/test/planner/linear/fast/tpch/simple/case_002 : PASSCost: 25.0Finished,  Duration: 0.05s.
SUCC/home/gabor/git/pdq/regression/test/planner/linear/fast/tpch/simple/case_003 : PASSCost: 40.0Finished,  Duration: 0.11s.
SUCC/home/gabor/git/pdq/regression/test/planner/linear/fast/tpch/simple/case_004 : PASSCost: 45.0Finished,  Duration: 0.1s.
SUCC/home/gabor/git/pdq/regression/test/planner/linear/fast/tpch/simple/case_005 : PASSCost: 45.0Finished,  Duration: 0.13s.
SUCC/home/gabor/git/pdq/regression/test/planner/linear/fast/tpch/simple/case_006 : PASSCost: 45.0Finished,  Duration: 0.14s.
SUCC/home/gabor/git/pdq/regression/test/planner/linear/fast/tpch/simple/case_007 : PASSCost: 15.0Finished,  Duration: 0.02s.
SUCC/home/gabor/git/pdq/regression/test/planner/linear/fast/tpch/simple/case_008 : PASSCost: 15.0Finished,  Duration: 0.01s.
SUCC/home/gabor/git/pdq/regression/test/planner/linear/fast/tpch/simple/case_009 : No previous plan found.Finished,  Duration: 0.01s.
SUCC/home/gabor/git/pdq/regression/test/planner/linear/fast/tpch/simple/case_010 : PASSCost: 45.0Finished,  Duration: 1.07s.
SUCC/home/gabor/git/pdq/regression/test/planner/linear/fast/tpch/simple/case_011 : PASSCost: 10.0Finished,  Duration: 0.01s.
SUCC/home/gabor/git/pdq/regression/test/planner/linear/fast/tpch/simple/case_012 : PASSCost: 45.0Finished,  Duration: 0.31s.
SUCC/home/gabor/git/pdq/regression/test/planner/linear/fast/tpch/simple/case_013 : PASSCost: 5.0Finished,  Duration: 0s.
SUCC/home/gabor/git/pdq/regression/test/planner/linear/fast/tpch/simple/case_014 : PASSCost: 20.0Finished,  Duration: 0.03s.
SUCC/home/gabor/git/pdq/regression/test/planner/linear/fast/tpch/simple/case_015 : PASSCost: 45.0Finished,  Duration: 0.2s.
SUCC/home/gabor/git/pdq/regression/test/planner/linear/fast/tpch/simple/case_016 : PASSCost: 10.0Finished,  Duration: 0s.
FAIL/home/gabor/git/pdq/regression/test/planner/linear/slow/demo/vldb-demo-example2 : Failed: uk.ac.ox.cs.pdq.util.LimitReachedException: Planning timeout reached: 120000.129042>120000.0
SUCC/home/gabor/git/pdq/regression/test/planner/linear/slow/tpch/blackbox_db_with/case_010 : PASSCost: 52.55Finished,  Duration: 2.77s.
regression test finished successfully
